int(self),self.cycle,highest_counter,faulty_transporter,faulty_transporter = highest_counter,average_com_range,init_com_radius,length(transporter),average_ties
0,2189,transporter(22),transporter(22),true,54.31799999999811,0.0,50,6.38
1,4266,transporter(22),transporter(22),true,119.3960000000022,0.0,50,7.1
2,2125,transporter(22),transporter(22),true,29.34799999999902,0.0,50,7.44
3,3269,transporter(17),transporter(22),false,32.57000000000041,0.0,50,6.92
4,1011,transporter(22),transporter(22),true,20.57999999999977,0.0,50,4.04
5,2072,transporter(22),transporter(22),true,22.875999999999408,0.0,50,6.36
6,1369,transporter(22),transporter(22),true,27.98999999999935,0.0,50,4.82
7,5972,transporter(22),transporter(22),true,59.88399999999998,0.0,50,7.04
8,2361,transporter(22),transporter(22),true,25.23999999999921,0.0,50,7.18
9,2693,transporter(22),transporter(22),true,52.989999999997984,0.0,50,6.42
10,2557,transporter(22),transporter(22),true,22.983999999999142,0.0,50,5.92
11,2640,transporter(22),transporter(22),true,51.803999999998005,0.0,50,5.8
12,2119,transporter(22),transporter(22),true,37.89599999999905,0.0,50,6.62
13,1396,transporter(22),transporter(22),true,29.281999999999535,0.0,50,5.0
14,2614,transporter(22),transporter(22),true,53.095999999997936,0.0,50,7.3
15,3025,transporter(22),transporter(22),true,35.1379999999998,0.0,50,7.18
16,2480,transporter(22),transporter(22),true,23.073999999999117,0.0,50,5.26
17,3190,transporter(22),transporter(22),true,67.1580000000002,0.0,50,7.42
18,2563,transporter(22),transporter(22),true,53.6859999999979,0.0,50,7.54
19,2715,transporter(22),transporter(22),true,44.97199999999865,0.0,50,6.84
20,3014,transporter(22),transporter(22),true,58.02399999999834,0.0,50,6.0
21,7695,transporter(22),transporter(22),true,37.494,0.0,50,7.22
22,2192,transporter(45),transporter(22),false,20.811999999999248,0.0,50,7.06
23,1989,transporter(22),transporter(22),true,56.17799999999853,0.0,50,6.78
24,3901,transporter(22),transporter(22),true,79.31400000000195,0.0,50,9.42
25,8322,transporter(22),transporter(22),true,37.49400000000001,0.0,50,8.28
26,4534,transporter(22),transporter(22),true,37.494,0.0,50,6.66
27,1985,transporter(28),transporter(22),false,51.37799999999828,0.0,50,9.92
28,2625,transporter(22),transporter(22),true,38.895999999998516,0.0,50,7.8
29,2485,transporter(22),transporter(22),true,22.71799999999937,0.0,50,7.06
30,2911,transporter(22),transporter(22),true,28.915999999999727,0.0,50,6.8
31,3258,transporter(22),transporter(22),true,44.319999999999126,0.0,50,6.98
32,5350,transporter(17),transporter(22),false,37.49400000000001,0.0,50,7.3
33,2010,transporter(22),transporter(22),true,35.71399999999891,0.0,50,5.3
