int(self),self.cycle,highest_counter,faulty_transporter,faulty_transporter = highest_counter,average_com_range,init_com_radius,length(transporter),average_ties
0,1467,transporter(22),transporter(22),true,23.08999999999977,0.0,50,5.28
1,3105,transporter(22),transporter(22),true,41.82799999999909,0.0,50,7.8
2,3279,transporter(22),transporter(22),true,29.61999999999991,0.0,50,7.2
3,1412,transporter(22),transporter(22),true,19.463999999999785,0.0,50,4.44
4,3880,transporter(22),transporter(22),true,53.75000000000059,0.0,50,7.3
5,2618,transporter(22),transporter(22),true,38.66399999999849,0.0,50,5.9
6,2250,transporter(22),transporter(22),true,38.80399999999899,0.0,50,5.58
7,4530,transporter(22),transporter(22),true,82.28799999999994,0.0,50,9.04
8,2974,transporter(22),transporter(22),true,31.021999999999167,0.0,50,6.72
9,1849,transporter(22),transporter(22),true,36.23599999999914,0.0,50,6.0
10,4145,transporter(22),transporter(22),true,53.17399999999895,0.0,50,7.3
11,2304,transporter(22),transporter(22),true,26.17599999999922,0.0,50,6.38
12,2232,transporter(22),transporter(22),true,26.827999999999584,0.0,50,5.66
13,3461,transporter(22),transporter(22),true,32.99399999999954,0.0,50,6.28
14,1933,transporter(22),transporter(22),true,39.95999999999893,0.0,50,5.46
15,5667,transporter(22),transporter(22),true,52.29199999999975,0.0,50,6.42
16,2821,transporter(22),transporter(22),true,28.86599999999918,0.0,50,6.28
17,2457,transporter(22),transporter(22),true,48.595999999998185,0.0,50,6.36
18,4530,transporter(22),transporter(22),true,52.44399999999955,0.0,50,7.34
19,1422,transporter(22),transporter(22),true,23.775999999999662,0.0,50,3.74
20,1923,transporter(22),transporter(22),true,18.089999999999403,0.0,50,5.28
21,1348,transporter(22),transporter(22),true,17.53799999999969,0.0,50,5.1
22,4094,transporter(22),transporter(22),true,43.42399999999919,0.0,50,6.46
23,3725,transporter(22),transporter(22),true,68.32200000000047,0.0,50,8.24
24,2875,transporter(22),transporter(22),true,42.21399999999883,0.0,50,6.92
25,1641,transporter(22),transporter(22),true,20.053999999999547,0.0,50,5.32
26,1340,transporter(22),transporter(22),true,31.213999999999455,0.0,50,5.38
27,2940,transporter(22),transporter(22),true,44.345999999999165,0.0,50,8.04
28,1562,transporter(22),transporter(22),true,32.127999999999275,0.0,50,5.88
29,1341,transporter(22),transporter(22),true,15.591999999999734,0.0,50,3.92
