int(self),self.cycle,highest_counter,faulty_transporter,faulty_transporter = highest_counter,average_com_range,init_com_radius,length(transporter),average_ties
0,3815,transporter(12),transporter(12),true,45.366000000000255,0.0,50,7.66
1,1492,transporter(12),transporter(12),true,14.529999999999609,0.0,50,4.72
2,2255,transporter(12),transporter(12),true,31.07799999999892,0.0,50,6.48
3,1529,transporter(12),transporter(12),true,38.671999999998995,0.0,50,4.46
4,3178,transporter(12),transporter(12),true,42.94999999999897,0.0,50,7.02
5,2776,transporter(12),transporter(12),true,39.48399999999857,0.0,50,6.7
6,3325,transporter(12),transporter(12),true,69.3760000000007,0.0,50,7.08
7,5865,transporter(12),transporter(12),true,37.49400000000001,0.0,50,6.82
8,1684,transporter(12),transporter(12),true,22.381999999999415,0.0,50,5.54
9,1755,transporter(12),transporter(12),true,52.48799999999847,0.0,50,6.5
10,1823,transporter(12),transporter(12),true,33.11399999999906,0.0,50,4.72
11,2752,transporter(12),transporter(12),true,37.499999999998835,0.0,50,6.2
12,2570,transporter(12),transporter(12),true,54.88799999999783,0.0,50,7.76
13,2915,transporter(12),transporter(12),true,55.943999999998184,0.0,50,9.04
14,3885,transporter(12),transporter(12),true,57.69800000000015,0.0,50,6.5
15,1893,transporter(12),transporter(12),true,34.045999999999005,0.0,50,5.9
16,2474,transporter(12),transporter(12),true,37.77399999999904,0.0,50,6.34
17,2323,transporter(12),transporter(12),true,33.84999999999876,0.0,50,5.98
18,2078,transporter(12),transporter(12),true,30.491999999998953,0.0,50,6.34
19,4820,transporter(12),transporter(12),true,37.49400000000001,0.0,50,6.86
20,2443,transporter(12),transporter(12),true,35.14599999999869,0.0,50,7.04
21,1403,transporter(12),transporter(12),true,35.855999999999156,0.0,50,5.74
22,2089,transporter(12),transporter(12),true,39.859999999998934,0.0,50,5.86
23,924,transporter(12),transporter(12),true,23.425999999999966,0.0,50,3.44
24,1872,transporter(12),transporter(12),true,25.627999999999478,0.0,50,5.68
25,3144,transporter(12),transporter(12),true,30.128,0.0,50,6.08
26,1795,transporter(12),transporter(12),true,17.42999999999944,0.0,50,5.42
27,2904,transporter(12),transporter(12),true,61.04999999999881,0.0,50,8.78
28,1836,transporter(12),transporter(12),true,31.98999999999913,0.0,50,5.86
29,1935,transporter(12),transporter(12),true,34.787999999998966,0.0,50,5.54
30,1943,transporter(12),transporter(12),true,29.50799999999901,0.0,50,7.1
31,2403,transporter(12),transporter(12),true,49.9499999999981,0.0,50,8.3
32,1373,transporter(12),transporter(12),true,28.09399999999935,0.0,50,4.84
33,1735,transporter(12),transporter(12),true,35.92199999999891,0.0,50,7.48
34,2345,transporter(12),transporter(12),true,22.603999999999147,0.0,50,6.38
35,1990,transporter(12),transporter(12),true,26.423999999999413,0.0,50,5.68
36,5007,transporter(12),transporter(12),true,51.021999999999565,0.0,50,5.88
37,2931,transporter(12),transporter(12),true,49.65199999999866,0.0,50,6.3
38,1501,transporter(12),transporter(12),true,38.96399999999899,0.0,50,6.4
39,1976,transporter(12),transporter(12),true,30.185999999998966,0.0,50,6.08
40,2009,transporter(12),transporter(12),true,29.231999999999353,0.0,50,5.12
41,1733,transporter(12),transporter(12),true,26.1039999999992,0.0,50,4.64
42,3065,transporter(12),transporter(12),true,46.21799999999968,0.0,50,7.26
43,2242,transporter(12),transporter(12),true,38.34199999999876,0.0,50,4.98
44,5376,transporter(12),transporter(12),true,32.529999999999816,0.0,50,6.68
45,2961,transporter(12),transporter(12),true,33.65399999999961,0.0,50,7.06
46,2975,transporter(12),transporter(12),true,44.63599999999943,0.0,50,6.38
47,2807,transporter(12),transporter(12),true,31.671999999999148,0.0,50,6.64
48,5186,transporter(12),transporter(12),true,37.494,0.0,50,7.82
