int(self),self.cycle,highest_counter,faulty_transporter,faulty_transporter = highest_counter,average_com_range,init_com_radius,length(transporter),average_ties
0,2054,transporter(22),transporter(22),true,20.71523809523753,0.0,105,5.523809523809524
1,1229,transporter(22),transporter(22),true,22.06857142857115,0.0,105,5.733333333333333
2,4881,transporter(22),transporter(22),true,21.425714285714285,0.0,105,7.380952380952381
3,2855,transporter(22),transporter(22),true,11.562857142856805,0.0,105,6.914285714285715
4,3981,transporter(22),transporter(22),true,50.9085714285721,0.0,105,10.838095238095239
5,10398,transporter(22),transporter(22),true,32.09523809523809,0.0,105,7.447619047619048
6,1798,transporter(22),transporter(22),true,18.950476190475634,0.0,105,8.628571428571428
7,4963,transporter(22),transporter(22),true,41.269523809523456,0.0,105,13.342857142857143
8,1055,transporter(22),transporter(22),true,15.07714285714282,0.0,105,5.485714285714286
9,2034,transporter(22),transporter(22),true,24.33333333333256,0.0,105,7.161904761904762
10,1584,transporter(22),transporter(22),true,13.67619047619017,0.0,105,6.8
11,3173,transporter(22),transporter(22),true,15.304761904761532,0.0,105,8.790476190476191
12,1478,transporter(22),transporter(22),true,19.21238095238058,0.0,105,6.942857142857143
13,5541,transporter(22),transporter(22),true,52.39999999999974,0.0,105,11.638095238095238
14,5221,transporter(22),transporter(22),true,42.6980952380952,0.0,105,11.695238095238095
15,1860,transporter(22),transporter(22),true,19.809523809523174,0.0,105,7.238095238095238
16,11757,transporter(22),transporter(22),true,34.812380952379485,0.0,105,9.8
17,2191,transporter(22),transporter(22),true,15.448571428571192,0.0,105,6.438095238095238
18,8746,transporter(22),transporter(22),true,32.099999999999994,0.0,105,11.714285714285714
19,9650,transporter(22),transporter(22),true,21.425714285714285,0.0,105,9.266666666666667
20,2091,transporter(22),transporter(22),true,16.18190476190454,0.0,105,6.704761904761905
21,2256,transporter(22),transporter(22),true,26.37238095238007,0.0,105,9.485714285714286
22,1499,transporter(22),transporter(22),true,13.295238095237833,0.0,105,5.238095238095238
23,1679,transporter(22),transporter(22),true,19.682857142856708,0.0,105,5.819047619047619
24,3048,transporter(22),transporter(22),true,36.293333333332605,0.0,105,9.857142857142858
25,6554,transporter(22),transporter(22),true,42.171428571428415,0.0,105,9.104761904761904
26,7956,transporter(22),transporter(22),true,31.96571428571425,0.0,105,10.533333333333333
27,4847,transporter(22),transporter(22),true,52.37333333333306,0.0,105,10.838095238095239
28,3757,transporter(22),transporter(22),true,42.06190476190457,0.0,105,8.914285714285715
29,2791,transporter(22),transporter(22),true,36.111428571427275,0.0,105,10.0
30,11420,transporter(22),transporter(22),true,21.42571428571429,0.0,105,8.695238095238095
31,1573,transporter(22),transporter(22),true,28.006666666665936,0.0,105,9.666666666666666
32,1939,transporter(22),transporter(22),true,10.229523809523483,0.0,105,6.352380952380952
33,2759,transporter(22),transporter(22),true,28.713333333332343,0.0,105,9.352380952380953
34,4163,transporter(22),transporter(22),true,51.385714285714435,0.0,105,9.285714285714286
35,3510,transporter(22),transporter(22),true,37.169523809524435,0.0,105,11.342857142857143
36,3313,transporter(22),transporter(22),true,43.56761904761916,0.0,105,13.485714285714286
37,6675,transporter(22),transporter(22),true,28.50857142857067,0.0,105,12.914285714285715
38,2199,transporter(22),transporter(22),true,21.619047619047,0.0,105,8.123809523809523
39,9679,transporter(22),transporter(22),true,41.83428571428548,0.0,105,10.676190476190476
40,3603,transporter(22),transporter(22),true,18.860952380952753,0.0,105,9.561904761904762
41,3440,transporter(22),transporter(22),true,24.33047619047592,0.0,105,7.390476190476191
42,7619,transporter(22),transporter(22),true,21.42571428571429,0.0,105,8.752380952380953
43,2172,transporter(22),transporter(22),true,20.408571428570763,0.0,105,8.82857142857143
44,5636,transporter(22),transporter(22),true,31.95238095238091,0.0,105,11.41904761904762
45,1669,transporter(22),transporter(22),true,21.556190476189986,0.0,105,6.066666666666666
46,5472,transporter(22),transporter(22),true,31.557142857142725,0.0,105,8.447619047619048
47,1670,transporter(22),transporter(22),true,18.44380952380913,0.0,105,6.847619047619047
48,1445,transporter(22),transporter(22),true,25.485714285713804,0.0,105,7.552380952380952
49,1334,transporter(22),transporter(22),true,9.653333333333206,0.0,105,5.123809523809523
50,3220,transporter(22),transporter(22),true,31.886666666666105,0.0,105,9.82857142857143
51,8805,transporter(22),transporter(22),true,42.683809523809494,0.0,105,13.82857142857143
52,2465,transporter(22),transporter(22),true,16.780952380951796,0.0,105,6.6380952380952385
53,3132,transporter(22),transporter(22),true,16.517142857142773,0.0,105,8.685714285714285
54,1756,transporter(22),transporter(22),true,22.740952380951704,0.0,105,6.742857142857143
55,1661,transporter(22),transporter(22),true,19.956190476189956,0.0,105,7.580952380952381
56,7510,transporter(22),transporter(22),true,52.66380952380932,0.0,105,8.619047619047619
57,13463,transporter(22),transporter(22),true,31.84571428571422,0.0,105,10.019047619047619
58,8602,transporter(21),transporter(22),false,31.921904761904713,0.0,105,7.333333333333333
59,1768,transporter(22),transporter(22),true,15.54476190476151,0.0,105,6.4
60,3880,transporter(22),transporter(22),true,31.990476190476315,0.0,105,12.41904761904762
61,2714,transporter(21),transporter(22),false,22.483809523808752,0.0,105,10.60952380952381
62,16926,transporter(22),transporter(22),true,32.00476190476187,0.0,105,10.342857142857143
63,3788,transporter(22),transporter(22),true,34.50000000000014,0.0,105,9.495238095238095
64,11444,transporter(22),transporter(22),true,31.897142857142804,0.0,105,9.561904761904762
65,1230,transporter(22),transporter(22),true,10.338095238095105,0.0,105,5.390476190476191
66,979,transporter(22),transporter(22),true,14.339047619047536,0.0,105,4.714285714285714
67,4314,transporter(22),transporter(22),true,17.19999999999997,0.0,105,8.333333333333334
68,5243,transporter(22),transporter(22),true,30.800952380952328,0.0,105,11.876190476190477
69,3623,transporter(22),transporter(22),true,29.43714285714368,0.0,105,10.076190476190476
70,1666,transporter(22),transporter(22),true,17.22761904761868,0.0,105,5.9523809523809526
71,9734,transporter(22),transporter(22),true,42.68285714285711,0.0,105,9.038095238095238
72,4639,transporter(22),transporter(22),true,31.636190476190365,0.0,105,8.361904761904762
73,3244,transporter(22),transporter(22),true,42.62476190476181,0.0,105,9.790476190476191
74,1983,transporter(22),transporter(22),true,16.113333333332903,0.0,105,7.247619047619048
75,1572,transporter(22),transporter(22),true,13.52285714285693,0.0,105,4.914285714285715
76,18231,transporter(22),transporter(22),true,32.11619047619047,0.0,105,8.82857142857143
77,8168,transporter(22),transporter(22),true,31.948571428571384,0.0,105,9.019047619047619
78,2000,transporter(22),transporter(22),true,23.65333333333266,0.0,105,8.314285714285715
79,1229,transporter(22),transporter(22),true,16.938095238095006,0.0,105,4.904761904761905
